,youtubeId,movieId,title,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,Documentary,War,Musical,Western,Film-Noir
5,2GfZl4kuVNI,6,Heat (1995),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
7,-C-xXZyX2zU,8,Tom and Huck (1995),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SCOxEKkuWG4,9,Sudden Death (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,tVdn8JH91Dg,12,Dracula: Dead and Loving It (1995),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,EJXDMwGWhoA,16,Casino (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
24,UMlYWZgCIgo,25,Leaving Las Vegas (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
31,15s4Y9ffW_o,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
32,3_wez2B83ic,33,Wings of Courage (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,ccq3f9-lQyM,35,Carrington (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
37,6PKq7YSpO6c,38,It Takes Two (1995),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,oiXdPolca5w,50,"Usual Suspects, The (1995)",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
53,K4MltltKq4k,54,"Big Green, The (1995)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,yoIBXVm_B9Y,60,"Indian in the Cupboard, The (1995)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Qd_88LUuHGU,68,French Twist (Gazon maudit) (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,YC3npzqwXcs,71,Fair Game (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,1AeAvE3FxQ8,76,Screamers (1995),0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
76,xjPZbigB4NA,77,Nico Icon (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,i1o_PO3ridY,81,Things to Do in Denver When You're Dead (1995),0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
