ID,youtubeId,movieId,title,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,Documentary,War,Musical,Western,Film-Noir
0,K26_sDKnvMU,1,Toy Story (1995),1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3LPANjHlPxo,2,Jumanji (1995),1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,rEnOoWs3FuA,3,Grumpier Old Men (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,j9xml1CxgXI,4,Waiting to Exhale (1995),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,ltwvKLnj1B4,5,Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2GfZl4kuVNI,6,Heat (1995),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
6,twTksx_lWB4,7,Sabrina (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,-C-xXZyX2zU,8,Tom and Huck (1995),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SCOxEKkuWG4,9,Sudden Death (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,lcOqUE0u1LM,10,GoldenEye (1995),1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10,UrC75wUKoFM,11,"American President, The (1995)",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,tVdn8JH91Dg,12,Dracula: Dead and Loving It (1995),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,a6lGULmQdb0,13,Balto (1995),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,dO2LWKpeyI8,14,Nixon (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,JXxFESHwnX0,15,Cutthroat Island (1995),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15,EJXDMwGWhoA,16,Casino (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
16,Ns17RQr1yK8,17,Sense and Sensibility (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,Rieq_TR7cV0,18,Four Rooms (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,DfqPjRMsRP0,19,Ace Ventura: When Nature Calls (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,qPPUmzK5pPc,20,Money Train (1995),0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
20,yNLaTtpovys,21,Get Shorty (1995),0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,lsmXhM4yfU0,22,Copycat (1995),0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
22,OOTTvrb4JZI,23,Assassins (1995),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
23,gHl-UHu2-lM,24,Powder (1995),0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
24,UMlYWZgCIgo,25,Leaving Las Vegas (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
25,RAYuASqrs94,26,Othello (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,RQLVzTtt2Ws,27,Now and Then (1995),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,lYSHAyODiGs,28,Persuasion (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
28,toH1vzAmDBI,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
29,mQf3Ngg2cks,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
30,gA-5nLQCmW8,31,Dangerous Minds (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,15s4Y9ffW_o,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
32,3_wez2B83ic,33,Wings of Courage (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,tVxeoUtVF0o,34,Babe (1995),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,ccq3f9-lQyM,35,Carrington (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
35,pg-GMqPHIPQ,36,Dead Man Walking (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
36,qpQ-CnutDy0,37,Across the Sea of Time (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,6PKq7YSpO6c,38,It Takes Two (1995),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,XuHEa7pWAQY,39,Clueless (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,zEY1dPRUrVU,40,"Cry, the Beloved Country (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,OXc0-EME0C8,41,Richard III (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
41,eETnzbLwTs8,42,Dead Presidents (1995),0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
42,CvsAuHYBgEQ,43,Restoration (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,JHIfHL5UgFs,44,Mortal Kombat (1995),1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
44,Y1uPXA1ceNo,45,To Die For (1995),0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
45,K5_2VgJUSBA,46,How to Make an American Quilt (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
46,SpKbZ_3zlb0,47,Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
47,DSf_pVG8QZM,48,Pocahontas (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
48,J5mszOh_Qis,49,When Night Is Falling (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
49,oiXdPolca5w,50,"Usual Suspects, The (1995)",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
50,2BBKx2Hji_0,51,Guardian Angel (1994),0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
